customer,state,gender,customer lifetime value,income,monthly premium auto,policy type,vehicle class,total claim amount
HV85198,Arizona,M,84714175,63513.0,70.0,Personal Auto,Four-Door Car,185.667213
BS91566,Arizona,F,54312191,58161.0,68.0,Corporate Auto,Four-Door Car,140.747286
IL40123,Nevada,F,56896441,83640.0,70.0,Corporate Auto,Two-Door Car,471.050488
MY32149,California,F,36867238,0.0,96.0,Personal Auto,Two-Door Car,28.460568
SA91515,California,M,39925839,0.0,111.0,Personal Auto,SUV,700.349052
SA25987,Washington,M,347913,0.0,104.0,Personal Auto,Two-Door Car,499.2
TB86706,Arizona,M,250263,0.0,66.0,Personal Auto,Two-Door Car,3.468912
ZL73902,Nevada,F,326515,25820.0,82.0,Personal Auto,Four-Door Car,393.6
KX23516,California,F,445584,0.0,121.0,Personal Auto,SUV,699.615192
FN77294,California,M,770495,30366.0,101.0,Personal Auto,SUV,484.8
VI78454,Arizona,M,275070,51789.0,70.0,Personal Auto,Four-Door Car,336.0
FP59138,Oregon,M,1302413,0.0,125.0,Personal Auto,SUV,900.0
XN62489,Oregon,M,253862,18608.0,71.0,Corporate Auto,Four-Door Car,340.8
GP66031,California,F,258595,83758.0,64.0,Corporate Auto,Two-Door Car,106.591949
IX68587,Nevada,F,509667,22886.0,65.0,Personal Auto,Four-Door Car,312.0
HX17929,California,F,1008348,11828.0,90.0,Personal Auto,Four-Door Car,571.479602
IC59236,California,F,494338,44762.0,62.0,Corporate Auto,Four-Door Car,114.51444
VG31922,Nevada,F,651621,0.0,175.0,Personal Auto,SUV,1221.143438
HP87787,Arizona,M,883808,82664.0,114.0,Corporate Auto,SUV,133.425609
AL78075,Oregon,M,381023,0.0,108.0,Personal Auto,Four-Door Car,777.6
WA97671,Arizona,M,633446,0.0,63.0,Personal Auto,Four-Door Car,302.4
QZ77637,Washington,F,1166509,84978.0,72.0,Corporate Auto,Four-Door Car,166.77296
FP11777,California,M,1097206,24164.0,137.0,Corporate Auto,Sports Car,657.6
ID45268,California,F,600696,0.0,80.0,Personal Auto,Four-Door Car,488.910614
AX86150,Washington,M,265671,62777.0,67.0,Personal Auto,Two-Door Car,101.288069
MW57614,Arizona,F,235942,19864.0,63.0,Personal Auto,Four-Door Car,352.394515
TJ30081,Arizona,M,1203662,44428.0,104.0,Personal Auto,SUV,499.2
FW44940,California,F,846738,21139.0,113.0,Personal Auto,Sports Car,656.798232
CS55808,California,M,939255,0.0,88.0,Personal Auto,Four-Door Car,851.146266
WZ61178,California,F,522723,11896.0,69.0,Personal Auto,Two-Door Car,476.254583
IV55977,Oregon,M,269375,0.0,73.0,Personal Auto,Two-Door Car,350.4
YC67208,California,M,222707,27972.0,61.0,Personal Auto,Four-Door Car,292.8
LZ89773,California,M,232686,0.0,62.0,Personal Auto,Four-Door Car,624.711448
IP52990,Oregon,F,1679431,38399.0,106.0,Personal Auto,SUV,368.890904
VF73104,Arizona,F,501682,20868.0,63.0,Personal Auto,Four-Door Car,134.629643
OC80343,Oregon,M,775792,49682.0,101.0,Personal Auto,SUV,198.84453
EL89222,California,F,860915,79090.0,107.0,Personal Auto,SUV,289.040734
QB14114,Oregon,F,527505,81850.0,132.0,Personal Auto,Sports Car,429.860895
HM41195,Arizona,M,574632,22906.0,76.0,Personal Auto,Four-Door Car,519.883102
JT41591,Washington,M,270598,0.0,83.0,Personal Auto,Four-Door Car,398.4
HE15857,Washington,M,618626,37138.0,83.0,Personal Auto,Two-Door Car,417.28389
KI64666,Nevada,F,2244528,0.0,71.0,Personal Auto,Four-Door Car,511.2
JC33752,Oregon,F,627784,21024.0,82.0,Personal Auto,Two-Door Car,450.129276
JA25453,California,M,721582,0.0,103.0,Personal Auto,Four-Door Car,741.6
AJ69778,Oregon,F,651443,77135.0,84.0,Personal Auto,Four-Door Car,98.372265
FQ83162,Washington,M,3470887,0.0,109.0,Personal Auto,Sports Car,718.700718
EY89842,Arizona,M,421619,0.0,114.0,Corporate Auto,SUV,820.8
TG69238,Oregon,F,1315837,72845.0,108.0,Personal Auto,SUV,463.000336
UI63465,Oregon,F,291753,51622.0,74.0,Corporate Auto,Four-Door Car,355.2
WX33904,Arizona,M,635567,0.0,61.0,Special Auto,Two-Door Car,292.8
HA20933,Oregon,F,1326959,15616.0,114.0,Personal Auto,SUV,547.2
BU16704,Oregon,F,588025,0.0,82.0,Personal Auto,Four-Door Car,590.4
JV68002,Washington,M,592672,23091.0,96.0,Corporate Auto,Four-Door Car,460.8
PM78410,Oregon,F,412125,0.0,67.0,Personal Auto,Two-Door Car,482.4
PU92298,Arizona,F,795615,22699.0,74.0,Personal Auto,Four-Door Car,355.2
AA16582,Washington,M,2412750,14072.0,71.0,Personal Auto,Four-Door Car,511.2
AZ87715,California,F,2686420,81713.0,74.0,Personal Auto,Four-Door Car,332.224293
GI89160,California,F,3193462,56516.0,199.0,Personal Auto,Luxury SUV,955.2
WV57813,Oregon,F,513268,0.0,73.0,Personal Auto,Four-Door Car,525.6
EW86465,Arizona,M,475962,26747.0,61.0,Corporate Auto,Four-Door Car,404.074203
UW70224,Oregon,F,263794,63422.0,66.0,Personal Auto,Four-Door Car,355.922452
LU12532,California,F,650339,22081.0,84.0,Personal Auto,Two-Door Car,451.670309
WD48852,Oregon,F,1278666,0.0,180.0,Special Auto,Luxury SUV,1296.0
BH43379,Oregon,F,314797,29698.0,83.0,Personal Auto,Four-Door Car,215.884804
GV59387,California,F,561848,24518.0,74.0,Personal Auto,Two-Door Car,241.656325
LQ76410,Arizona,M,323057,62873.0,81.0,Special Auto,Four-Door Car,207.75186
MF19231,California,M,743467,28377.0,94.0,Personal Auto,Four-Door Car,451.2
XS47087,Oregon,M,1171478,21102.0,100.0,Personal Auto,SUV,480.0
IL56791,Oregon,M,200977,0.0,65.0,Personal Auto,Two-Door Car,312.0
UV88036,Nevada,F,662547,0.0,88.0,Personal Auto,Four-Door Car,539.280951
SE76116,California,M,956771,81410.0,119.0,Personal Auto,SUV,221.188327
GJ63103,Oregon,F,1847471,27869.0,67.0,Personal Auto,Two-Door Car,482.4
PL78574,Arizona,M,1215732,57449.0,103.0,Personal Auto,Four-Door Car,494.4
NV69875,Oregon,M,295635,40901.0,74.0,Corporate Auto,Four-Door Car,13.628274
MC38650,Nevada,M,396339,88701.0,99.0,Personal Auto,Two-Door Car,171.830049
No73819,California,F,1089604,29365.0,137.0,Personal Auto,Sports Car,657.6
OW84864,California,F,608104,0.0,82.0,Personal Auto,Four-Door Car,393.6
BV91898,Arizona,F,3014161,0.0,103.0,Personal Auto,SUV,1060.310769
WQ54314,Oregon,F,573723,56455.0,73.0,Personal Auto,Four-Door Car,350.4
NM57315,California,M,1697979,35095.0,73.0,Special Auto,Two-Door Car,525.6
JB51220,Oregon,F,1091535,0.0,155.0,Corporate Auto,Sports Car,1116.0
EN77569,Oregon,F,380812,94903.0,94.0,Special Auto,Two-Door Car,451.2
YP47665,Washington,M,540891,80192.0,67.0,Personal Auto,Four-Door Car,95.193157
QO54008,Oregon,M,1341939,0.0,122.0,Personal Auto,SUV,827.786203
EQ59908,California,M,323799,60244.0,83.0,Corporate Auto,Four-Door Car,326.281835
YU72540,Arizona,F,1035762,52735.0,65.0,Personal Auto,Four-Door Car,123.512596
BZ50261,Arizona,F,1161991,78275.0,72.0,Personal Auto,Two-Door Car,25.336642
QE92747,Oregon,F,820905,77282.0,102.0,Corporate Auto,Four-Door Car,489.6
KG83280,California,F,309651,21604.0,79.0,Personal Auto,Four-Door Car,379.2
IL42365,Arizona,F,480435,51962.0,125.0,Personal Auto,Sports Car,788.206874
FI86516,Oregon,F,478605,0.0,68.0,Corporate Auto,Four-Door Car,489.6
FV14881,California,F,1588603,56362.0,197.0,Personal Auto,Luxury SUV,945.6
RR54950,Arizona,M,528507,85753.0,66.0,Special Auto,Four-Door Car,316.8
FC70869,Arizona,F,294537,36167.0,76.0,Personal Auto,Two-Door Car,364.8
PB60303,Oregon,F,1808979,68568.0,223.0,Personal Auto,Luxury Car,1070.4
HO50571,California,F,1020892,35482.0,129.0,Personal Auto,SUV,619.2
BH86846,Washington,M,2070825,92079.0,65.0,Corporate Auto,Four-Door Car,114.798771
PC42162,Oregon,M,524785,0.0,77.0,Personal Auto,Two-Door Car,554.4
KD21661,California,M,517955,0.0,165.0,Personal Auto,SUV,1188.0
FZ73016,California,F,451343,34558.0,113.0,Personal Auto,SUV,376.529086
HJ19927,Nevada,M,529762,14775.0,69.0,Personal Auto,Four-Door Car,170.939409
RJ99408,California,M,537701,35637.0,68.0,Personal Auto,Four-Door Car,326.4
EL81968,Oregon,M,766138,66726.0,97.0,Personal Auto,Two-Door Car,335.840529
WU86174,California,F,267727,0.0,72.0,Personal Auto,Four-Door Car,345.6
DN21342,Oregon,F,687781,0.0,96.0,Personal Auto,Four-Door Car,460.8
PB60406,California,F,571423,79719.0,71.0,Personal Auto,Four-Door Car,425.924132
IY37465,Arizona,M,492954,25632.0,63.0,Corporate Auto,Two-Door Car,351.270869
LF55270,Oregon,F,1048491,61108.0,89.0,Personal Auto,Four-Door Car,49.451117
UV69038,California,M,949040,0.0,137.0,Corporate Auto,SUV,657.6
IS63925,Arizona,F,780531,21073.0,106.0,Personal Auto,SUV,508.8
CQ21583,Oregon,M,2127434,17932.0,79.0,Personal Auto,Four-Door Car,379.2
PR21713,Nevada,M,583889,81082.0,73.0,Personal Auto,Four-Door Car,281.295903
XE10977,Oregon,F,267749,71684.0,66.0,Personal Auto,Two-Door Car,196.065149
JG87029,Oregon,M,237479,57338.0,61.0,Personal Auto,Two-Door Car,292.8
BK21146,Arizona,M,2210350,0.0,102.0,Personal Auto,SUV,489.6
WE19034,Oregon,M,242777,24409.0,62.0,Corporate Auto,Four-Door Car,297.6
DF62718,California,F,729440,83488.0,90.0,Personal Auto,Four-Door Car,432.784577
MS59254,Washington,M,1136046,0.0,104.0,Corporate Auto,Two-Door Car,773.346065
WC65050,California,F,281195,62537.0,71.0,Personal Auto,Two-Door Car,354.199664
ST27958,Washington,M,438627,10621.0,67.0,Personal Auto,Four-Door Car,321.6
XZ81226,Arizona,F,644691,43478.0,80.0,Personal Auto,Four-Door Car,384.0
TU53781,Oregon,F,842717,46503.0,215.0,Corporate Auto,Luxury SUV,1032.0
GC93551,Oregon,F,529012,27179.0,66.0,Personal Auto,Four-Door Car,344.201601
MO33279,California,F,559245,62229.0,70.0,Personal Auto,Two-Door Car,336.0
LD20926,Arizona,F,1889219,0.0,92.0,Personal Auto,Two-Door Car,441.6
PW90662,Oregon,M,1362362,67060.0,126.0,Personal Auto,SUV,339.000467
WS53288,Oregon,F,2546482,13663.0,97.0,Personal Auto,Four-Door Car,465.6
HE84643,California,F,217562,0.0,63.0,Personal Auto,Four-Door Car,453.6
CL37990,Arizona,F,669922,0.0,99.0,Corporate Auto,Four-Door Car,699.67536
HR87252,California,F,904367,97745.0,113.0,Personal Auto,Sports Car,695.136477
SB27146,Oregon,F,436904,26026.0,116.0,Personal Auto,Two-Door Car,283.670312
KI58952,California,F,5133790,72794.0,164.0,Personal Auto,SUV,50.454459
RM21896,Oregon,F,2869989,47730.0,91.0,Personal Auto,Four-Door Car,219.440024
JS38272,Arizona,M,427003,0.0,122.0,Personal Auto,SUV,725.870693
NJ15094,Washington,F,534599,0.0,72.0,Personal Auto,Four-Door Car,345.6
MZ88454,Oregon,F,477474,0.0,70.0,Personal Auto,Four-Door Car,336.0
PO27978,Oregon,F,1472750,97785.0,73.0,Personal Auto,Two-Door Car,236.614219
VT28596,California,F,475547,0.0,66.0,Personal Auto,Four-Door Car,712.309237
TI19722,Washington,M,343613,30817.0,88.0,Corporate Auto,Four-Door Car,91.834668
DO83038,California,F,835577,64502.0,70.0,Personal Auto,Two-Door Car,39.336222
AG62087,California,M,341256,30335.0,87.0,Corporate Auto,Four-Door Car,326.132867
BA56812,Oregon,M,618533,21020.0,80.0,Corporate Auto,Four-Door Car,178.371281
QF74147,California,F,845672,84574.0,70.0,Special Auto,Four-Door Car,167.459769
RN88075,Washington,F,302193,0.0,84.0,Personal Auto,Two-Door Car,700.725788
OG71924,Oregon,F,696614,0.0,93.0,Personal Auto,Four-Door Car,436.143226
YF87007,Oregon,F,1008348,11828.0,90.0,Corporate Auto,Four-Door Car,571.479602
ZL18631,Arizona,F,253999,54889.0,63.0,Personal Auto,Four-Door Car,302.4
BZ71120,Oregon,F,845645,89918.0,105.0,Personal Auto,SUV,367.230882
UP60200,California,M,2657631,87002.0,110.0,Personal Auto,Two-Door Car,199.851173
XZ64172,Oregon,M,1096395,55687.0,276.0,Corporate Auto,Luxury SUV,1324.8
CA47176,Oregon,M,967198,17103.0,87.0,Personal Auto,Two-Door Car,417.6
CI68869,Arizona,F,189868,0.0,70.0,Personal Auto,Two-Door Car,702.020904
XT10744,Arizona,M,859514,28441.0,73.0,Special Auto,Two-Door Car,686.020135
HT48275,Oregon,M,553275,91212.0,69.0,Personal Auto,Two-Door Car,270.311239
HB48073,Arizona,F,937177,66325.0,117.0,Corporate Auto,SUV,497.719213
MD43085,Oregon,F,397532,67895.0,101.0,Personal Auto,Four-Door Car,403.937672
NJ11986,Arizona,F,445601,29550.0,114.0,Corporate Auto,Two-Door Car,118.750512
HH55884,Arizona,M,349589,10275.0,97.0,Personal Auto,Four-Door Car,465.6
JP69867,Nevada,M,851213,61725.0,106.0,Personal Auto,Four-Door Car,508.8
FT86104,California,M,465006,28215.0,65.0,Corporate Auto,Two-Door Car,468.0
GV39658,Arizona,F,1352312,10563.0,121.0,Corporate Auto,SUV,109.814874
GB66110,California,M,442240,0.0,62.0,Personal Auto,Two-Door Car,722.432062
VD51297,California,M,732098,99722.0,61.0,Personal Auto,Four-Door Car,292.8
EP29567,Washington,M,703146,16224.0,93.0,Corporate Auto,Four-Door Car,498.452698
PE59368,Washington,F,512348,72096.0,64.0,Personal Auto,Two-Door Car,252.330905
DQ50538,Nevada,M,905075,63800.0,113.0,Personal Auto,SUV,542.4
WP58340,Arizona,M,1096395,55687.0,276.0,Personal Auto,Luxury SUV,1324.8
TM23788,California,M,603902,0.0,89.0,Personal Auto,Four-Door Car,640.8
UF44021,California,M,210849,0.0,61.0,Personal Auto,Two-Door Car,351.85681
WB96917,California,M,987509,29598.0,87.0,Personal Auto,Two-Door Car,150.926696
MN95006,California,M,692860,22907.0,180.0,Personal Auto,Luxury SUV,49.18776
NP60037,Oregon,M,1431844,22697.0,186.0,Corporate Auto,Luxury SUV,892.8
NQ71171,California,M,510707,70174.0,64.0,Personal Auto,Four-Door Car,128.90032
SM58898,California,F,1722389,85378.0,107.0,Corporate Auto,SUV,513.6
FN98595,Nevada,F,751683,31477.0,94.0,Special Auto,Four-Door Car,146.950756
TW94555,Nevada,M,538949,66429.0,136.0,Personal Auto,Sports Car,57.712985
XW60886,California,M,627515,0.0,90.0,Personal Auto,Four-Door Car,900.242038
IE84844,Nevada,F,472223,0.0,65.0,Personal Auto,Four-Door Car,655.489027
HY76810,Oregon,F,628231,0.0,172.0,Corporate Auto,SUV,141.460349
JL41129,California,M,798619,74217.0,100.0,Personal Auto,SUV,418.005524
OQ41280,Nevada,M,650321,46298.0,88.0,Corporate Auto,Four-Door Car,128.292466
AP65984,Oregon,F,488175,0.0,135.0,Personal Auto,SUV,648.0
EE99484,Washington,F,251459,43860.0,65.0,Corporate Auto,Four-Door Car,156.124914
XM39121,Arizona,F,795544,0.0,69.0,Personal Auto,Four-Door Car,331.2
DK49336,Arizona,M,480921,48029.0,61.0,Corporate Auto,Four-Door Car,292.8
HB43486,Washington,F,969654,86830.0,123.0,Personal Auto,SUV,480.533246
KB15252,Arizona,F,870932,0.0,77.0,Personal Auto,Two-Door Car,509.100577
BN83547,Nevada,F,285845,40706.0,71.0,Personal Auto,Four-Door Car,166.123172
MC55901,California,F,523394,69231.0,65.0,Personal Auto,Four-Door Car,193.243084
PZ98142,Arizona,F,1349476,0.0,132.0,Personal Auto,SUV,950.4
GB43363,Oregon,M,687060,0.0,105.0,Personal Auto,Four-Door Car,756.0
TH67541,Arizona,F,565272,16171.0,74.0,Corporate Auto,Four-Door Car,311.004168
WC21901,Arizona,M,234526,51397.0,61.0,Personal Auto,Four-Door Car,292.8
CL38124,Oregon,F,1968831,83879.0,69.0,Personal Auto,Four-Door Car,212.148485
XH89851,California,F,724720,63267.0,92.0,Personal Auto,Four-Door Car,530.340202
KA58700,Nevada,M,608530,44712.0,82.0,Corporate Auto,Four-Door Car,537.78416
ZB40259,California,M,548007,59311.0,69.0,Corporate Auto,Four-Door Car,14.812808
JV63229,Arizona,M,687630,81957.0,86.0,Personal Auto,Four-Door Car,433.426544
SI31035,Arizona,M,536888,59601.0,67.0,Personal Auto,Four-Door Car,321.6
JW30054,Oregon,M,828306,71034.0,103.0,Corporate Auto,Four-Door Car,494.4
AP56340,Washington,M,538467,13103.0,72.0,Personal Auto,Four-Door Car,458.003651
FN44127,Oregon,M,350856,20978.0,98.0,Personal Auto,Four-Door Car,1176.2788
QE79527,California,F,842717,46503.0,215.0,Personal Auto,Luxury SUV,1032.0
UP36767,California,M,455380,61064.0,113.0,Personal Auto,SUV,539.774172
PG43749,Oregon,F,431843,17572.0,110.0,Personal Auto,Two-Door Car,639.769748
LL96228,Oregon,M,1409119,99823.0,116.0,Corporate Auto,SUV,250.183388
OV40993,Nevada,F,869363,17453.0,118.0,Personal Auto,SUV,566.4
MA80983,Oregon,M,666118,55663.0,166.0,Personal Auto,SUV,194.739777
SA54664,Washington,M,265438,73196.0,66.0,Personal Auto,Four-Door Car,85.809817
TW12556,Oregon,F,442803,58577.0,110.0,Personal Auto,SUV,303.872752
TC88451,Nevada,F,573827,88055.0,71.0,Personal Auto,Four-Door Car,337.727542
BL93659,California,M,581504,0.0,80.0,Personal Auto,Four-Door Car,384.0
SI20178,California,M,442590,80892.0,110.0,Personal Auto,SUV,528.0
KC50464,Arizona,F,257402,34990.0,65.0,Corporate Auto,Four-Door Car,42.689135
HG64216,California,M,283251,37124.0,72.0,Personal Auto,Two-Door Car,430.518791
XM91056,California,F,487631,22236.0,62.0,Personal Auto,Two-Door Car,409.425049
KN13494,Washington,F,518162,97131.0,64.0,Personal Auto,Four-Door Car,307.2
OC47565,Oregon,F,594721,67760.0,74.0,Special Auto,Four-Door Car,465.278453
HH14259,Arizona,F,256386,0.0,69.0,Personal Auto,Four-Door Car,97.691104
QF66741,Nevada,M,1514440,0.0,62.0,Personal Auto,Two-Door Car,307.649586
LY46898,California,M,555830,37473.0,70.0,Corporate Auto,Four-Door Car,336.0
MK73855,Washington,F,810936,32314.0,68.0,Personal Auto,Four-Door Car,326.4
HU82227,Arizona,M,1563857,49214.0,102.0,Corporate Auto,Four-Door Car,371.322406
FF75737,Oregon,F,833431,49851.0,69.0,Personal Auto,Four-Door Car,331.2
KJ50265,Washington,M,1041831,27951.0,91.0,Personal Auto,Four-Door Car,436.8
OQ82364,Nevada,F,684615,0.0,95.0,Corporate Auto,Two-Door Car,456.0
SO47345,Arizona,F,940387,56410.0,117.0,Personal Auto,SUV,523.99823
JN51592,Arizona,F,1698549,22497.0,212.0,Special Auto,Luxury Car,1017.6
FH36069,Arizona,F,2110121,61347.0,106.0,Personal Auto,SUV,604.237801
ZW32080,Nevada,F,291495,37803.0,74.0,Personal Auto,Four-Door Car,355.2
ZH98656,Nevada,F,859386,91276.0,105.0,Personal Auto,SUV,504.0
GZ31904,Oregon,M,686174,30816.0,87.0,Personal Auto,Two-Door Car,237.57033
PN47493,Oregon,F,268090,41968.0,67.0,Corporate Auto,Four-Door Car,183.207703
CX18273,Arizona,M,1579798,35754.0,199.0,Personal Auto,Luxury Car,612.973779
IG80173,California,F,286331,36706.0,71.0,Personal Auto,Four-Door Car,435.606086
JG76775,Washington,M,3006169,48258.0,249.0,Personal Auto,Luxury Car,1195.2
JR82641,Arizona,M,1068276,52965.0,134.0,Personal Auto,SUV,83.815183
NW41789,Oregon,M,274690,0.0,84.0,Personal Auto,Four-Door Car,604.8
VG74039,Oregon,F,238894,0.0,65.0,Personal Auto,Four-Door Car,455.644704
DV27428,Oregon,M,1377674,62634.0,116.0,Personal Auto,SUV,122.017931
AN57220,Oregon,F,1726364,96917.0,61.0,Special Auto,Four-Door Car,71.942176
VD62056,Arizona,F,466922,76157.0,116.0,Personal Auto,Two-Door Car,556.8
AH92481,California,F,467319,53219.0,117.0,Corporate Auto,SUV,561.6
LX97765,Arizona,F,434759,81412.0,109.0,Personal Auto,Two-Door Car,344.294164
JP82211,California,F,3387318,59744.0,105.0,Personal Auto,SUV,476.486416
SI88726,California,F,910078,38898.0,117.0,Corporate Auto,SUV,561.6
MG46007,California,M,635825,0.0,94.0,Personal Auto,Four-Door Car,17.938979
GL69461,Oregon,F,262846,99961.0,66.0,Personal Auto,Four-Door Car,316.8
RA63927,Oregon,M,719310,30886.0,91.0,Personal Auto,Two-Door Car,103.424766
UE76013,Washington,F,503986,35984.0,128.0,Personal Auto,SUV,275.577631
RI35792,Nevada,F,396282,0.0,125.0,Personal Auto,SUV,539.5622
WL63802,California,M,642570,0.0,181.0,Personal Auto,Luxury Car,1303.2
KZ29413,Oregon,M,1567269,0.0,139.0,Personal Auto,SUV,667.2
SN23932,Arizona,M,323799,60244.0,83.0,Personal Auto,Four-Door Car,326.281835
YW26148,California,F,1299227,0.0,72.0,Personal Auto,Four-Door Car,518.4
LS51818,California,F,2221796,37553.0,187.0,Personal Auto,Luxury Car,897.6
ZG47195,Nevada,M,493125,0.0,73.0,Personal Auto,Four-Door Car,525.6
No50634,Oregon,M,433038,60475.0,107.0,Personal Auto,Four-Door Car,513.6
GC42314,Arizona,M,829617,0.0,111.0,Personal Auto,SUV,672.91665
SD77009,California,M,833435,0.0,136.0,Personal Auto,SUV,979.2
OW85480,California,M,534807,25545.0,69.0,Personal Auto,Four-Door Car,331.2
SW93780,Arizona,M,239874,24182.0,66.0,Personal Auto,Four-Door Car,316.8
ZW51071,Oregon,F,662205,80979.0,84.0,Personal Auto,Four-Door Car,25.961213
CK74127,Arizona,M,415594,0.0,62.0,Corporate Auto,Four-Door Car,446.4
KM52241,Arizona,F,843005,0.0,74.0,Personal Auto,Four-Door Car,47.502366
PE66545,Oregon,M,254551,29250.0,64.0,Personal Auto,Two-Door Car,308.240792
GG70928,California,F,500458,33566.0,63.0,Personal Auto,Four-Door Car,205.043307
GI36262,Washington,F,289970,65247.0,72.0,Corporate Auto,Four-Door Car,381.238176
MH85165,California,M,676780,39650.0,86.0,Personal Auto,Four-Door Car,922.335972
AM26717,California,M,312308,0.0,101.0,Personal Auto,SUV,960.115399
CV90092,Oregon,M,818469,82680.0,68.0,Corporate Auto,Four-Door Car,326.4
CL70684,California,M,763627,0.0,111.0,Corporate Auto,Two-Door Car,799.2
GK13851,Oregon,M,922756,0.0,129.0,Personal Auto,SUV,619.2
TQ73726,Oregon,M,758733,0.0,69.0,Personal Auto,Two-Door Car,460.741097
RW65977,Arizona,M,219113,0.0,61.0,Special Auto,Four-Door Car,439.2
EY74093,Nevada,M,500413,86834.0,64.0,Corporate Auto,Four-Door Car,0.099007
YG11074,Arizona,F,479493,46143.0,122.0,Personal Auto,SUV,223.028356
HW65139,California,M,2673006,21275.0,240.0,Personal Auto,Luxury SUV,1152.0
BT49333,Arizona,M,426076,47746.0,106.0,Personal Auto,SUV,246.696768
KN78424,California,M,1547727,51675.0,196.0,Corporate Auto,Sports Car,940.8
TH68648,California,M,512683,85522.0,64.0,Personal Auto,Four-Door Car,165.002742
GZ22403,Oregon,M,406809,0.0,63.0,Personal Auto,Two-Door Car,753.22565
NU26460,Oregon,F,1771220,0.0,84.0,Corporate Auto,Four-Door Car,633.294203
PB21909,Oregon,M,977581,55632.0,123.0,Personal Auto,SUV,478.609999
TA78865,Nevada,M,2053439,0.0,93.0,Special Auto,Four-Door Car,669.6
FP23103,Oregon,M,580018,0.0,78.0,Special Auto,Two-Door Car,374.4
YK43172,Arizona,M,331962,69152.0,89.0,Personal Auto,Four-Door Car,221.359492
YZ36062,Oregon,M,652943,13476.0,67.0,Corporate Auto,Four-Door Car,433.588181
SJ29837,Washington,F,760266,0.0,105.0,Personal Auto,SUV,914.538629
RC72799,Oregon,F,283980,33252.0,71.0,Personal Auto,Four-Door Car,407.668083
AN67558,Nevada,M,328820,0.0,102.0,Personal Auto,SUV,734.4
EQ62488,Oregon,F,1503156,59456.0,189.0,Personal Auto,Luxury Car,907.2
OA92714,California,F,505590,88989.0,63.0,Personal Auto,Four-Door Car,232.745161
QS76805,Arizona,M,801291,0.0,107.0,Corporate Auto,SUV,513.6
PQ46798,California,F,830070,17034.0,113.0,Personal Auto,Sports Car,542.4
IA56290,Arizona,F,251610,88435.0,62.0,Personal Auto,Four-Door Car,136.263492
XU35186,California,F,274940,71445.0,70.0,Personal Auto,Four-Door Car,336.0
DR84620,California,M,807133,72149.0,101.0,Personal Auto,SUV,69.310166
QG27547,Oregon,F,286731,23376.0,78.0,Personal Auto,Four-Door Car,374.4
NM95102,Oregon,M,728503,44788.0,61.0,Personal Auto,Four-Door Car,386.031248
KZ26788,Washington,F,411858,69379.0,103.0,Personal Auto,Two-Door Car,494.4
GW25077,Oregon,F,529336,38521.0,134.0,Personal Auto,SUV,557.184015
ZU91897,California,M,1326596,34482.0,67.0,Personal Auto,Four-Door Car,83.830109
ZK38095,California,F,236943,0.0,68.0,Personal Auto,Four-Door Car,487.345606
TY84623,California,M,981652,37256.0,62.0,Corporate Auto,Four-Door Car,128.969729
IP69763,Washington,F,2191440,77311.0,181.0,Personal Auto,SUV,113.609508
NF90665,Oregon,M,514388,39268.0,66.0,Personal Auto,Four-Door Car,188.870427
KG53186,Nevada,M,313669,59644.0,79.0,Corporate Auto,Four-Door Car,379.2
KV57104,Oregon,F,771381,0.0,68.0,Personal Auto,Four-Door Car,326.4
ZX93551,Arizona,F,286731,23376.0,78.0,Personal Auto,Four-Door Car,374.4
TR18337,Nevada,F,1151640,50854.0,73.0,Personal Auto,Four-Door Car,101.489422
XV22744,Oregon,F,1502519,35158.0,76.0,Personal Auto,Four-Door Car,165.958605
KK27683,Nevada,F,401384,15413.0,106.0,Personal Auto,SUV,508.8
HX11651,Oregon,M,328882,17860.0,99.0,Personal Auto,Two-Door Car,656.122925
FD73388,Arizona,F,1373613,16181.0,181.0,Personal Auto,SUV,1261.319869
KF70569,Nevada,M,389087,91182.0,96.0,Personal Auto,Four-Door Car,249.140907
CC94413,Oregon,F,570127,41154.0,72.0,Personal Auto,Four-Door Car,345.6
QO59138,Arizona,M,259021,18746.0,68.0,Personal Auto,Four-Door Car,326.4
JW58698,Oregon,F,322333,70277.0,80.0,Personal Auto,Four-Door Car,84.818806
GT57081,Oregon,F,491202,0.0,66.0,Personal Auto,Four-Door Car,668.158687
GU82475,California,M,653201,24919.0,84.0,Personal Auto,Four-Door Car,420.420755
BG60187,Oregon,M,801212,0.0,79.0,Personal Auto,Four-Door Car,335.234102
TN73558,Arizona,F,373150,0.0,96.0,Personal Auto,Four-Door Car,460.8
KK15032,Arizona,F,270238,46370.0,68.0,Personal Auto,Two-Door Car,326.4
KA95160,Arizona,F,2320724,89918.0,115.0,Personal Auto,SUV,423.116739
KD52867,Oregon,F,334702,37138.0,85.0,Personal Auto,Two-Door Car,612.0
WY53775,Arizona,M,838263,19683.0,117.0,Personal Auto,Sports Car,561.6
HS94778,Oregon,F,1179312,32214.0,100.0,Personal Auto,SUV,296.560998
EJ96266,California,F,296571,26472.0,74.0,Personal Auto,Four-Door Car,355.2
RK53289,California,F,564632,39841.0,72.0,Personal Auto,Two-Door Car,440.128707
TX39594,Arizona,F,245249,51085.0,62.0,Personal Auto,Two-Door Car,406.902001
JM93892,Arizona,M,595321,61006.0,74.0,Corporate Auto,Four-Door Car,73.919629
